 gamma	phi_min	H_ext
   1.7453293005625408E-002  -1144739.8217728438      -0.59999990463256836     
   1.7453293005625408E-002  -1144739.8225060042      -0.63999986648559570     
   1.7453293005625408E-002  -1144739.8232835622      -0.67999982833862305     
   1.7453293005625408E-002  -1144739.8241096935      -0.72000002861022949     
   1.7453293005625408E-002  -1144739.8249890879      -0.75999999046325684     
   1.7453293005625408E-002  -1144739.8259270864      -0.79999995231628418     
   1.7453293005625408E-002  -1144739.8269297616      -0.83999991416931152     
   1.7453293005625408E-002  -1144739.8280040487      -0.87999987602233887     
   1.7453293005625408E-002  -1144739.8291588891      -0.91999983787536621     
   1.7453293005625408E-002  -1144739.8304016197      -0.96000003814697266     
   1.7453293005625408E-002  -1144739.8317438134       -1.0000000000000000     
   1.7453293005625408E-002  -1144739.8331990172       -1.0399999618530273     
   1.7453293005625408E-002  -1144739.8347809231       -1.0799999237060547     
   1.7453293005625408E-002  -1144739.8365058671       -1.1199998855590820     
   1.7453293005625408E-002  -1144739.8383966479       -1.1599998474121094     
   1.7453293005625408E-002  -1144739.8404771977       -1.1999998092651367     
   1.7453293005625408E-002  -1144739.8427789432       -1.2400000095367432     
   1.7453293005625408E-002  -1144739.8453367874       -1.2799999713897705     
   1.7453293005625408E-002  -1144739.8481991903       -1.3199999332427979     
   1.7453293005625408E-002  -1144739.8514231038       -1.3599998950958252     
   1.7453293005625408E-002  -1144739.8550827347       -1.3999998569488525     
   1.7453293005625408E-002  -1144739.8592758854       -1.4399998188018799     
   1.7453293005625408E-002  -1144739.8641295740       -1.4800000190734863     
   1.7453293005625408E-002  -1144739.8698197177       -1.5199999809265137     
   1.7453293005625408E-002  -1144739.8765903453       -1.5599999427795410     
   1.7453293005625408E-002  -1144739.8848032211       -1.5999999046325684     
   1.7453293005625408E-002  -1144739.8950098902       -1.6399998664855957     
   1.7453293005625408E-002  -1144739.9081301773       -1.6799998283386230     
   1.7453293005625408E-002  -1144739.9258785974       -1.7200000286102295     
   1.7453293005625408E-002  -1144739.9521821178       -1.7599999904632568     
   1.7453293005625408E-002  -1144740.0023705685       -1.7999999523162842     
   1.7453293005625408E-002  -693583.59545943327       -1.8399999141693115     
   1.7453293005625408E-002  -693585.10963702283       -1.8799998760223389     
   1.7453293005625408E-002  -693585.10955011775       -1.9199998378753662     
   1.7453293005625408E-002  -693585.10945968004       -1.9599997997283936     
  0.78539818525314331       -2.7309259472854648       -2.0000000000000000     
  0.78539818525314331       -2.7355136618617033       -1.9600000381469727     
  0.78539818525314331       -2.7401940728725154       -1.9199999570846558     
  0.78539818525314331       -2.7449698866936707       -1.8799999952316284     
  0.78539818525314331       -2.7498440734712220       -1.8400000333786011     
  0.78539818525314331       -2.7548179958975880       -1.7999999523162842     
  0.78539818525314331       -2.7598946739432146       -1.7599999904632568     
  0.78539818525314331       -2.7650767114563557       -1.7200000286102295     
  0.78539818525314331       -2.7703673416718564       -1.6800000667572021     
  0.78539818525314331       -2.7757681762020723       -1.6399999856948853     
  0.78539818525314331       -2.7812825289794669       -1.6000000238418579     
  0.78539818525314331       -2.7869133147092997       -1.5599999427795410     
  0.78539818525314331       -2.7926640479969951       -1.5199999809265137     
  0.78539818525314331       -2.7985366199702284       -1.4800000190734863     
  0.78539818525314331       -2.8045347198706518       -1.4400000572204590     
  0.78539818525314331       -2.8106615548901677       -1.4000000953674316     
  0.78539818525314331       -2.8169210639793367       -1.3600000143051147     
  0.78539818525314331       -2.8233154202565962       -1.3199999332427979     
  0.78539818525314331       -2.8298486820849034       -1.2799999713897705     
  0.78539818525314331       -2.8365250776415492       -1.2400000095367432     
  0.78539818525314331       -2.8433471244123698       -1.2000000476837158     
  0.78539818525314331       -2.8503192180992940       -1.1600000858306885     
  0.78539818525314331       -2.8574453192776548       -1.1200000047683716     
  0.78539818525314331       -2.8647300905536817       -1.0800000429153442     
  0.78539818525314331       -2.8721765210402346       -1.0399999618530273     
  0.78539818525314331       -2.8797895112911909       -1.0000000000000000     
  0.78539818525314331       -2.8875742053002718      -0.96000003814697266     
  0.78539818525314331       -2.8955340057451546      -0.92000007629394531     
  0.78539818525314331       -2.9036743506615101      -0.87999999523162842     
  0.78539818525314331       -2.9120008270691815      -0.84000003337860107     
  0.78539818525314331       -2.9205173999173253      -0.80000007152557373     
  0.78539818525314331       -2.9292300899136130      -0.75999999046325684     
  0.78539818525314331       -2.9381451184885994      -0.72000002861022949     
  0.78539818525314331       -2.9472671164435020      -0.68000006675720215     
  0.78539818525314331       -2.9566028482907716      -0.63999998569488525     
  0.78539818525314331       -2.9661593307249294      -0.60000002384185791     
  0.78539818525314331       -2.9759420455434626      -0.56000006198883057     
  0.78539818525314331       -2.9859587097329205      -0.51999998092651367     
  0.78539818525314331       -2.9962173890957327      -0.48000001907348633     
  0.78539818525314331       -3.0067246665924934      -0.44000005722045898     
  0.78539818525314331       -3.0174894943200652      -0.40000009536743164     
  0.78539818525314331       -3.0285214311721722      -0.36000001430511475     
  0.78539818525314331       -3.0398284451033759      -0.32000005245208740     
  0.78539818525314331       -3.0514219189701630      -0.28000009059906006     
  0.78539818525314331       -3.0633112795287953      -0.24000000953674316     
  0.78539818525314331       -3.0755085854329764      -0.20000004768371582     
  0.78539818525314331       -3.0880269733660191      -0.16000008583068848     
  0.78539818525314331       -3.1008784457243506      -0.12000000476837158     
  0.78539818525314331       -3.1140788191549968       -8.0000042915344238E-002
  0.78539818525314331       -3.1276424992732013       -4.0000081062316895E-002
  0.78539818525314331       -3.1415881643631072        0.0000000000000000     
  0.78539818525314331       -3.1559332159254594        3.9999961853027344E-002
  0.78539818525314331       -3.1706999566284013        7.9999923706054688E-002
  0.78539818525314331       -3.1859099962466946       0.11999988555908203     
  0.78539818525314331       -3.2015904801775998       0.15999984741210938     
  0.78539818525314331       -3.2177694687140845       0.20000004768371582     
  0.78539818525314331       -3.2344783589706609       0.24000000953674316     
  0.78539818525314331       -3.2517553502388008       0.27999997138977051     
  0.78539818525314331       -3.2696414369631475       0.31999993324279785     
  0.78539818525314331       -3.2881846064136893       0.35999989509582520     
  0.78539818525314331       -3.3074404773405064       0.39999985694885254     
  0.78539818525314331       -3.3274742462425149       0.44000005722045898     
  0.78539818525314331       -3.3483626263042154       0.48000001907348633     
  0.78539818525314331       -3.3701978462372768       0.51999998092651367     
  0.78539818525314331       -3.3930917177509685       0.55999994277954102     
  0.78539818525314331       -3.4171830821776412       0.59999990463256836     
  0.78539818525314331       -3.4426446645692290       0.63999986648559570     
  0.78539818525314331       -3.4696999662011838       0.67999982833862305     
  0.78539818525314331       -3.4986452663202954       0.72000002861022949     
  0.78539818525314331       -3.5298878707815686       0.75999999046325684     
  0.78539818525314331       -3.5640125841564463       0.79999995231628418     
  0.78539818525314331       -3.6019199320923732       0.83999991416931152     
  0.78539818525314331       -3.6451208877935430       0.87999987602233887     
